feature,channel,band,importance_mean,importance_std
rel_CP4_gamma,CP4,gamma,0.0006112504256833961,0.00015607084272461545
rel_Fp2_delta,Fp2,delta,0.0006102597442803504,0.00013427159746735973
rel_C2_alpha,C2,alpha,0.0006055540076158605,0.00031372609706150365
rel_T9_alpha,T9,alpha,0.0006028296337574179,0.0005770014385353654
logabs_C1_gamma,C1,gamma,0.0005946565121822233,7.05464985323141e-05
logabs_P8_beta,P8,beta,0.0005909414569208015,0.00010995392097664863
rel_Fpz_beta,Fpz,beta,0.000586235720256334,0.0002109194792034103
logabs_F2_beta,F2,beta,0.0005854927092040496,8.643092011992807e-05
rel_P5_gamma,P5,gamma,0.0005835113463979136,0.00019365287551901104
logabs_TP8_delta,TP8,delta,0.0005790532800841631,0.0002627671539505653
logabs_Oz_alpha,Oz,alpha,0.000575338224822719,0.0001904818482412472
rel_PO4_delta,PO4,delta,0.0005733568620166274,0.0001611418751057412
logabs_C6_beta,C6,beta,0.0005718708399120587,0.00010375111717437474
logabs_CP1_alpha,CP1,alpha,0.0005679081142998754,0.00011974957504908789
logabs_C1_beta,C1,beta,0.0005674127735983081,7.100152172982916e-05
rel_C4_beta,C4,beta,0.0005609733444785104,0.00011460207865819711
logabs_P2_alpha,P2,alpha,0.0005594873223738972,0.00020201977260067553
rel_P4_beta,P4,beta,0.0005580013002693285,0.00017735791237230556
rel_AFz_theta,AFz,theta,0.0005475991455372142,0.00016486252754747887
rel_Fz_gamma,Fz,gamma,0.0005471038048356469,0.0001716864734113497
logabs_C3_beta,C3,beta,0.0005436364199250532,7.344584805686322e-05
logabs_TP8_theta,TP8,theta,0.0005376923315067339,0.0002640186849307304
logabs_P8_delta,P8,delta,0.0005349679576483358,0.00015721118159529144
region_occipital_delta,-,delta,0.0005324912541407212,0.00011977876920866498
logabs_PO7_theta,PO7,theta,0.0005295192099315615,0.00016230743438442802
rel_T10_delta,T10,delta,0.0005280331878270373,0.00012664070674831912
logabs_FC4_beta,FC4,beta,0.0005245658029162659,9.898327686232515e-05
logabs_P5_alpha,P5,alpha,0.000520355406953299,0.0001334076752455857
rel_CP4_delta,CP4,delta,0.0005161450109903764,0.00020406203338557647
rel_Fz_theta,Fz,theta,0.0005084672301166826,0.0001479207930205903
logabs_T9_gamma,T9,gamma,0.000508219559765899,0.0003182834794885928
rel_P6_gamma,P6,gamma,0.0005045045045045215,0.0004267760451005995
rel_Fp2_theta,Fp2,theta,0.0004980650753846127,0.0002594958934748827
rel_CP1_beta,CP1,beta,0.0004978174050338958,0.00010833702465226309
logabs_TP8_beta,TP8,beta,0.0004871675799510422,0.00010298024776260769
rel_C6_delta,C6,delta,0.0004861768985479742,0.00032018192269966163
logabs_Oz_beta,Oz,beta,0.0004797374694281764,0.00010262821014769908
rel_CP1_delta,CP1,delta,0.0004718120182037877,8.557001658280214e-05
derived_occ_alpha_beta_logratio,-,derived,0.0004705736664497806,0.00036981504491291893
derived_occ_alpha_asymmetry,-,derived,0.00046041918206864987,0.00037733079860076196
logabs_T8_delta,T8,delta,0.0004579424785609909,0.00023667672106434946
logabs_T8_gamma,T8,gamma,0.00044654964242591967,0.0002521079797952162
logabs_Pz_gamma,Pz,gamma,0.00044580663137359087,1.742515374691398e-05
rel_C1_alpha,C1,alpha,0.00044085322435833963,0.00012867422223006381
logabs_Cz_beta,Cz,beta,0.0004393672022537709,6.027809931646387e-05
logabs_C1_alpha,C1,alpha,0.00043391845453699673,8.994083229924865e-05
logabs_AF4_delta,AF4,delta,0.0004230209591034262,0.00014205271095760826
rel_O2_theta,O2,theta,0.00042004891489424436,0.00020558489097770644
rel_Fpz_delta,Fpz,delta,0.0004160861892820833,0.00011011725719102082
logabs_CP1_gamma,CP1,gamma,0.0004153431782297545,5.9382033341500806e-05
region_occipital_theta,-,theta,0.0004041980124453337,0.00011867416317535343
logabs_T8_theta,T8,theta,0.000403455001393116,0.00021728101663468532
logabs_AF4_theta,AF4,theta,0.0003980062536763862,0.00022208394719579555
rel_O1_alpha,O1,alpha,0.0003967679019225345,0.00025028997563428663
rel_CP6_theta,CP6,theta,0.00039404352806411415,0.0001964627006992829
rel_Fp1_delta,Fp1,delta,0.0003920621652580003,0.00016096400774620555
rel_PO4_beta,PO4,beta,0.0003824030215782592,8.81455959971731e-05
rel_AF4_gamma,AF4,gamma,0.0003804216587721676,0.0001270102241812102
logabs_F6_gamma,F6,gamma,0.0003781926256152701,0.0005185264934201737
rel_POz_delta,POz,delta,0.0003752205814061105,0.00018894342363415267
rel_FT8_theta,FT8,theta,0.00037472524070456534,0.00010855083788759127
logabs_F4_beta,F4,beta,0.00037249620754773447,3.880924061866858e-05
logabs_P5_theta,P5,theta,0.00036258939351718755,0.00015887507654029298
rel_O2_delta,O2,delta,0.0003576359865018697,7.657541099755941e-05
rel_O1_delta,O1,delta,0.000355406953345061,8.177248372500409e-05
region_occipital_alpha,-,alpha,0.0003549116126435603,0.0002313917165116244
rel_FC2_beta,FC2,beta,0.000340546732299285,0.00011446282942245418
logabs_C4_gamma,C4,gamma,0.0003346026438809657,7.098856154244253e-05
rel_F2_delta,F2,delta,0.00033237361072413485,0.00011745581968960683
logabs_TP8_alpha,TP8,alpha,0.00032890622581336346,0.0001069769642187827
rel_PO8_theta,PO8,theta,0.00032791554441033985,0.000111711134471572
rel_P3_gamma,P3,gamma,0.00032246679669358793,0.00014304672759154048
logabs_Iz_theta,Iz,theta,0.0003219714559920872,0.00029016249064169617
rel_PO3_alpha,PO3,alpha,0.0003199900931859512,0.00032192153702081776
logabs_Pz_alpha,Pz,alpha,0.0003135506640660868,9.846695393291325e-05
logabs_TP8_gamma,TP8,gamma,0.00031330299371530313,8.835273110027286e-05
logabs_F8_theta,F8,theta,0.00031156930126001735,0.00017352061218466627
logabs_PO8_theta,PO8,theta,0.00031132163090916707,0.00013041813656703688
logabs_CPz_alpha,CPz,alpha,0.0003071112349462446,9.080758346011337e-05
region_parietal_delta,-,delta,0.00030587288319241515,0.00010854914261518802
rel_TP8_gamma,TP8,gamma,0.00029324169530355884,0.0004108674207957921
rel_Oz_delta,Oz,delta,0.0002850685737283198,7.49889218956967e-05
region_temporal_theta,-,theta,0.00028482090337753616,7.752912777395928e-05
logabs_AF4_gamma,AF4,gamma,0.0002806105074146137,0.00016828211628599788
logabs_F5_delta,F5,delta,0.0002741710782947715,0.00037099216359814084
rel_Pz_gamma,Pz,gamma,0.0002736757375932486,0.0003420837732018258
logabs_C3_alpha,C3,alpha,0.00027342806724246494,7.164654207931184e-05
logabs_P4_alpha,P4,alpha,0.00027268505619020277,0.0001342578915754422
rel_PO4_alpha,PO4,alpha,0.0002721897154886577,0.00017565468537427033
logabs_P6_alpha,P6,alpha,0.00027070369338404453,0.00011663827372989074
rel_FC1_gamma,FC1,gamma,0.00026624562707031616,8.078382706717973e-05
